,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,
0,1,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5,1
1,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1,0
2,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3,0
3,1,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,5,1
4,0,5,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1,0
5,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0
6,0,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0
7,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3,0
8,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1,1
9,0,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3,0
10,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0
11,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3,0
12,0,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0
13,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,1
14,0,5,0,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1,0
15,0,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5,0
16,0,2,0,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1,0
17,1,5,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,1,1
18,1,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,3,5,1
19,1,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5,1
20,0,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3,0
21,1,5,3,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,1,1
22,0,0,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3,0
23,0,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0
24,0,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3,0
25,1,2,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,1,1
26,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3,0
27,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0
28,0,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,5,5,0
29,0,5,2,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0,0
30,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0
31,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5,1
32,0,5,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3,0
33,0,5,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4,0
34,0,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3,0
35,0,5,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0
